FID	IID	Population
4461875510_R01C01	4461875510_R01C01	Karel
4461875510_R01C02	4461875510_R01C02	Karel
4461875510_R02C01	4461875510_R02C01	Karel
4461875513_R02C02	4461875513_R02C02	Karel
4461875513_R01C02	4461875513_R01C02	Karel
4461875593_R01C02	4461875593_R01C02	Karel
4461875593_R02C01	4461875593_R02C01	Karel
4461875593_R02C02	4461875593_R02C02	Karel
4461875593_R01C01	4461875593_R01C01	Karel
4461875605_R02C02	4461875605_R02C02	Karel
4461875606_R02C02	4461875606_R02C02	Karel
4461875606_R01C01	4461875606_R01C01	Karel
4461875606_R01C02	4461875606_R01C02	Karel
4461875606_R02C01	4461875606_R02C01	Karel
4461875619_R01C02	4461875619_R01C02	Karel
4461875619_R02C01	4461875619_R02C01	Karel
4461875619_R02C02	4461875619_R02C02	Karel
4461875619_R01C01	4461875619_R01C01	Karel
4461875656_R02C02	4461875656_R02C02	Karel
4461875656_R01C01	4461875656_R01C01	Karel
4461875656_R01C02	4461875656_R01C02	Karel
4461875656_R02C01	4461875656_R02C01	Karel
4461875657_R01C02	4461875657_R01C02	Karel
4461875657_R02C01	4461875657_R02C01	Karel
4461875657_R02C02	4461875657_R02C02	Karel
4461875657_R01C01	4461875657_R01C01	Karel
4461875725_R02C02	4461875725_R02C02	Moldovan
4461875725_R01C01	4461875725_R01C01	Moldovan
4461875725_R01C02	4461875725_R01C02	Moldovan
4461875725_R02C01	4461875725_R02C01	Moldovan
4461875746_R02C02	4461875746_R02C02	Moldovan
4461875746_R01C01	4461875746_R01C01	Moldovan
4461875746_R01C02	4461875746_R01C02	Moldovan
4461875747_R01C02	4461875747_R01C02	Moldovan
4461875747_R02C01	4461875747_R02C01	Moldovan
4461875747_R02C02	4461875747_R02C02	Moldovan
4461875747_R01C01	4461875747_R01C01	Moldovan
4461875748_R01C01	4461875748_R01C01	Moldovan
4461875748_R01C02	4461875748_R01C02	Moldovan
4461875748_R02C01	4461875748_R02C01	Moldovan
4461875748_R02C02	4461875748_R02C02	Moldovan
4461875752_R02C01	4461875752_R02C01	Moldovan
4461875752_R02C02	4461875752_R02C02	Moldovan
4461875758_R02C02	4461875758_R02C02	Moldovan
4461875758_R01C02	4461875758_R01C02	Moldovan
4461875758_R02C01	4461875758_R02C01	Moldovan
4461875780_R01C01	4461875780_R01C01	Moldovan
4461875780_R01C02	4461875780_R01C02	Moldovan
4461875780_R02C01	4461875780_R02C01	Moldovan
4461875780_R02C02	4461875780_R02C02	Moldovan
4461875806_R01C01	4461875806_R01C01	Moldovan
4461875806_R01C02	4461875806_R01C02	Moldovan
4461875806_R02C01	4461875806_R02C01	Moldovan
4461875806_R02C02	4461875806_R02C02	Moldovan
4461875849_R01C01	4461875849_R01C01	Moldovan
4461875849_R01C02	4461875849_R01C02	Moldovan
4461875849_R02C01	4461875849_R02C01	Moldovan
4461875849_R02C02	4461875849_R02C02	Moldovan
4461875850_R02C02	4461875850_R02C02	Tatar
4461875850_R01C02	4461875850_R01C02	Tatar
4461875850_R02C01	4461875850_R02C01	Tatar
4461875851_R01C02	4461875851_R01C02	Tatar
4461875851_R02C01	4461875851_R02C01	Tatar
4461875851_R02C02	4461875851_R02C02	Tatar
4461875851_R01C01	4461875851_R01C01	Tatar
4461875861_R02C02	4461875861_R02C02	Tatar
4461875862_R02C02	4461875862_R02C02	Tatar
4461875862_R01C01	4461875862_R01C01	Tatar
4461875862_R01C02	4461875862_R01C02	Tatar
4461875862_R02C01	4461875862_R02C01	Tatar
4461875876_R01C01	4461875876_R01C01	Tatar
4461875876_R02C02	4461875876_R02C02	Tatar
4461875881_R01C01	4461875881_R01C01	Tatar
4461875306_R01C01	4461875306_R01C01	Bashkir
4461875306_R01C02	4461875306_R01C02	Bashkir
4461875306_R02C01	4461875306_R02C01	Bashkir
4461875306_R02C02	4461875306_R02C02	Bashkir
4461875312_R01C01	4461875312_R01C01	Bashkir
4461875312_R01C02	4461875312_R01C02	Bashkir
4461875312_R02C01	4461875312_R02C01	Bashkir
4461875312_R02C02	4461875312_R02C02	Bashkir
4461875314_R01C01	4461875314_R01C01	Bashkir
4461875314_R01C02	4461875314_R01C02	Bashkir
4461875314_R02C01	4461875314_R02C01	Bashkir
4461875314_R02C02	4461875314_R02C02	Bashkir
4461875136_R01C01	4461875136_R01C01	Bashkir
4461875136_R01C02	4461875136_R01C02	Bashkir
4461875136_R02C01	4461875136_R02C01	Bashkir
4461875136_R02C02	4461875136_R02C02	Bashkir
4461875166_R01C01	4461875166_R01C01	Bashkir
4461875166_R01C02	4461875166_R01C02	Bashkir
4461875166_R02C01	4461875166_R02C01	Bashkir
4461875166_R02C02	4461875166_R02C02	Bashkir
4461875167_R01C02	4461875167_R01C02	Bashkir
4461875167_R02C02	4461875167_R02C02	Bashkir
4461875217_R01C01	4461875217_R01C01	Bashkir
4461875217_R01C02	4461875217_R01C02	Bashkir
4461875217_R02C01	4461875217_R02C01	Bashkir
4461875217_R02C02	4461875217_R02C02	Bashkir
4461875226_R01C01	4461875226_R01C01	Bashkir
4461875226_R01C02	4461875226_R01C02	Bashkir
4461875226_R02C01	4461875226_R02C01	Bashkir
4461875226_R02C02	4461875226_R02C02	Bashkir
4461875228_R01C01	4461875228_R01C01	Bashkir
4461875228_R01C02	4461875228_R01C02	Bashkir
4461875228_R02C01	4461875228_R02C01	Bashkir
4461875228_R02C02	4461875228_R02C02	Bashkir
4461875471_R01C02	4461875471_R01C02	Mordva
4461875471_R02C02	4461875471_R02C02	Mordva
4461875033_R01C01	4461875033_R01C01	Mordva
4461875033_R01C02	4461875033_R01C02	Mordva
4461875033_R02C01	4461875033_R02C01	Mordva
4461875033_R02C02	4461875033_R02C02	Mordva
4461875490_R01C01	4461875490_R01C01	Mordva
4461875490_R01C02	4461875490_R01C02	Mordva
4461875490_R02C01	4461875490_R02C01	Mordva
4461875490_R02C02	4461875490_R02C02	Mordva
4461875491_R01C01	4461875491_R01C01	Mordva
4461875491_R01C02	4461875491_R01C02	Mordva
4461875491_R02C01	4461875491_R02C01	Mordva
4461875491_R02C02	4461875491_R02C02	Mordva
4461875492_R01C02	4461875492_R01C02	Mordva
4461875492_R02C01	4461875492_R02C01	Mordva
4461875492_R02C02	4461875492_R02C02	Mordva
4461875493_R01C01	4461875493_R01C01	Mordva
4461875493_R01C02	4461875493_R01C02	Mordva
4461875493_R02C01	4461875493_R02C01	Mordva
4461875493_R02C02	4461875493_R02C02	Mordva
4461875495_R01C01	4461875495_R01C01	Mordva
4461875495_R01C02	4461875495_R01C02	Mordva
4461875495_R02C01	4461875495_R02C01	Mordva
4461875495_R02C02	4461875495_R02C02	Mordva
4461875058_R01C01	4461875058_R01C01	Mordva
4461875058_R01C02	4461875058_R01C02	Mordva
4461875058_R02C01	4461875058_R02C01	Mordva
4461875058_R02C02	4461875058_R02C02	Mordva
4461875069_R01C01	4461875069_R01C01	Mordva
4461875069_R01C02	4461875069_R01C02	Mordva
4461875069_R02C01	4461875069_R02C01	Mordva
4461875069_R02C02	4461875069_R02C02	Mordva
4461875537_R01C01	4461875537_R01C01	Chuvash
4461875537_R01C02	4461875537_R01C02	Chuvash
4461875537_R02C01	4461875537_R02C01	Chuvash
4461875537_R02C02	4461875537_R02C02	Chuvash
4461875544_R01C01	4461875544_R01C01	Chuvash
4461875544_R01C02	4461875544_R01C02	Chuvash
4461875544_R02C01	4461875544_R02C01	Chuvash
4461875544_R02C02	4461875544_R02C02	Chuvash
4461875546_R01C01	4461875546_R01C01	Chuvash
4461875546_R02C01	4461875546_R02C01	Chuvash
4461875546_R02C02	4461875546_R02C02	Chuvash
4461875559_R01C01	4461875559_R01C01	Chuvash
4461875559_R01C02	4461875559_R01C02	Chuvash
4461875559_R02C01	4461875559_R02C01	Chuvash
4461875559_R02C02	4461875559_R02C02	Chuvash
4461875564_R01C01	4461875564_R01C01	Chuvash
4461875564_R01C02	4461875564_R01C02	Chuvash
4461875564_R02C01	4461875564_R02C01	Chuvash
4461875564_R02C02	4461875564_R02C02	Chuvash
4461875566_R01C01	4461875566_R01C01	Chuvash
4461875566_R01C02	4461875566_R01C02	Chuvash
4461875566_R02C01	4461875566_R02C01	Chuvash
4461875566_R02C02	4461875566_R02C02	Chuvash
4461875577_R01C01	4461875577_R01C01	Chuvash
4461875577_R01C02	4461875577_R01C02	Chuvash
4461875577_R02C01	4461875577_R02C01	Chuvash
4461875577_R02C02	4461875577_R02C02	Chuvash
4461875586_R01C01	4461875586_R01C01	Chuvash
4461875586_R01C02	4461875586_R01C02	Ukrainian
4461875511_R01C02	4461875511_R01C02	Belarus
4461875511_R02C02	4461875511_R02C02	Belarus
4461875516_R01C01	4461875516_R01C01	Belarus
4461875516_R01C02	4461875516_R01C02	Belarus
4461875516_R02C01	4461875516_R02C01	Belarus
4461875516_R02C02	4461875516_R02C02	Belarus
4461875520_R01C01	4461875520_R01C01	Belarus
4461875520_R01C02	4461875520_R01C02	Belarus
4461875520_R02C01	4461875520_R02C01	Belarus
4461875520_R02C02	4461875520_R02C02	Belarus
4461875521_R01C01	4461875521_R01C01	Belarus
4461875521_R01C02	4461875521_R01C02	Belarus
4461875521_R02C01	4461875521_R02C01	Belarus
4461875521_R02C02	4461875521_R02C02	Belarus
4461875522_R01C01	4461875522_R01C01	Belarus
4461875522_R01C02	4461875522_R01C02	Belarus
4461875522_R02C01	4461875522_R02C01	Belarus
4461875522_R02C02	4461875522_R02C02	Belarus
4461875526_R01C01	4461875526_R01C01	Belarus
4461875526_R01C02	4461875526_R01C02	Belarus
4461875526_R02C01	4461875526_R02C01	Belarus
4461875526_R02C02	4461875526_R02C02	Belarus
4461875527_R01C01	4461875527_R01C01	Belarus
4461875527_R01C02	4461875527_R01C02	Belarus
4461875527_R02C01	4461875527_R02C01	Belarus
4461875527_R02C02	4461875527_R02C02	Belarus
4461875536_R01C01	4461875536_R01C01	Belarus
4461875536_R01C02	4461875536_R01C02	Belarus
4461875070_R01C01	4461875070_R01C01	Chechen
4461875070_R01C02	4461875070_R01C02	Chechen
